Word,Tag
varudam,tm
ivar,tm
naarkali,tm
ku,tm
asaipadatha,tm
atkal,tm
ilai,tm
indru,tm
varikum,tm
.,sym
never,en
put,en
ur,en
phone,en
airplane,en
mode,en
.,sym
Ithupole,tm
trailerum,tmen
kand,tm
poyatha,tm
SAAHO,name
Kanan,tm
sadhikkaruth,tm
setta,tm
cashkuda,tmen
illadha,tm
kalyanam,tm
.,sym
summa,tm
marana,tm
mass,en
trailer,en
mirattala,tm
irukku,tm
excellentana,tmen
vela,tm
.,sym
Yarellam,tm
teejay,tm
ah,tm
vaa,tm
pathu,tm
excite,en
.,sym
bro,en
know,en
tamil,Other
.,sym
yennada,tm
ippo,tm
eukara,tm
kodandeyellathukume,tm
yellame,tm
theriyu,tm
.,sym
andha,tm
songkagave,tmen
movieya,tmen
pakanu,tm
.,sym
Marana,name
waiting,en
Thalaivaaa,tm
.,sym
Simran,name
yeduk,tm
trishava,tm
kattirkala,tm
youngada,tm
erukanga,tm
avanglu,tm
.,sym
Ajith,name
sir,en
carrierlaye,tmen
idhu,tm
vidhyasamaana,tm
padamnu,tm
solravanga,tm
like,tm
pannavum,tm
.,sym
Dai,tm
ithu,tm
velayutham,tm
Padam,tm
Da,tm
Yaara,tm
cheatpanna,tm
paakringa,tm
.,sym
Yaaro,tm
oru,tm
group,en
Padam,tm
flop,en
dhan,tm
konja,tm
naalu,tm
ku,tm
Munadi,tm
koovitu,tm
irundhanga,tm
Avanga,tm
laam,tm
konjam,tm
line,en
la,tm
vanga,tm
.,sym
Over,en
seenu,tmen
odabuku,tm
agathu,tm
thambi,tm
mukkunalum,tm
thalapathy,tm
pola,tm
varathu,tm
.,sym
semma,tm
mokka,tm
idellam,tm
oru,tm
padam,tm
edukurawanauku,tm
adikanam,tm
seruppala,tm
.,sym
First,en
like,en
button,en
vijay,name
setupati,name
fan,en
.,sym
suggest,en
trending,en
song,en
.,sym
ippo,tm
yenna,tm
panna,tm
porom,tm
.,sym
komali,tm
flopach,tmen
